"ID","Essai","Temps Experience","Temps total Inactivite","Temps total Activite","Temps total de Manipulation","Nbr Total de Manipulation","Temps Total Consultation Instruction","Nb Total de Consultation","Nombre erreur","Proposition_Phase"
"ID30","5","122.200043","55.298038","66.902000","53.579861","31","13.322139","14","9","2"
"ID30","6","36.333340","15.064931","21.268408","21.268408","14","0.000000","0","2","2"
"ID30","7","54.088886","18.935757","35.153133","35.153133","15","0.000000","0","0","2"
"ID30","8","38.922234","14.554549","24.367680","24.367680","13","0.000000","0","0","3"
"ID30","9","31.811119","13.784560","18.026560","18.026560","14","0.000000","0","0","3"
"ID31","1","178.166702","81.962997","96.203705","51.070900","33","45.132801","28","17","1"
"ID31","2","77.633293","42.701801","34.931499","28.409201","26","6.522299","7","6","1"
"ID31","3","44.455582","23.829960","20.625620","19.870071","18","0.755550","1","1","2"
"ID31","4","40.922218","22.296671","18.625549","18.625549","20","0.000000","0","2","2"
"ID31","5","40.399967","20.486469","19.913500","19.913500","15","0.000000","0","0","2"
"ID31","6","42.455559","21.453032","21.002527","21.002527","13","0.000000","0","0","3"
"ID31","7","42.100006","20.497730","21.602280","21.602280","14","0.000000","0","0","3"
"ID32","1","192.488892","77.796707","114.692200","44.303001","22","70.389198","27","11","1"
"ID32","2","70.088928","39.265114","30.823820","25.334940","18","5.488880","4","1","2"
"ID32","3","89.311058","48.782459","40.528599","39.272999","23","1.255600","1","4","2"
"ID32","4","59.277767","28.799749","30.478020","30.478020","19","0.000000","0","0","2"
"ID32","5","45.433380","24.376699","21.056681","21.056681","17","0.000000","0","0","3"
"ID32","6","33.055550","14.863730","18.191820","18.191820","13","0.000000","0","0","3"
"ID33","1","147.888901","86.359695","61.529202","29.873800","19","31.655399","28","0","1"
"ID33","2","132.711136","73.593407","59.117729","30.651258","23","28.466471","14","6","1"
"ID33","3","87.955513","44.198250","43.757259","43.301712","33","0.455550","1","11","2"
"ID33","4","38.788898","18.999653","19.789248","19.789248","17","0.000000","0","0","2"
"ID33","5","45.622231","21.887531","23.734699","23.734699","18","0.000000","0","0","3"
"ID33","6","35.888889","15.885561","20.003328","20.003328","16","0.000000","0","0","3"
"ID34","1","282.322205","89.839096","192.483109","65.683197","37","126.799904","40","8","1"
"ID34","2","280.366577","89.896896","190.469696","71.980705","47","118.488998","52","6","1"
"ID34","3","197.511139","68.393623","129.117523","94.084167","45","35.033352","15","3","1"
"ID34","4","73.488861","32.030052","41.458809","41.458809","30","0.000000","0","1","2"
"ID34","5","167.166702","72.533440","94.633255","81.599991","63","13.033270","3","1","2"
"ID34","6","44.655560","22.953228","21.702332","21.702332","23","0.000000","0","0","2"
"ID34","7","43.655560","21.988350","21.667210","21.667210","25","0.000000","0","0","3"
"ID34","8","37.155552","18.684460","18.471090","18.471090","19","0.000000","0","0","3"
"ID35","1","247.588898","136.691910","110.897003","37.885700","18","73.011299","24","3","1"
"ID35","2","106.800003","59.966999","46.833000","28.743999","18","18.089001","10","3","1"
"ID35","3","64.966660","45.197201","19.769461","19.769461","16","0.000000","0","1","2"
"ID35","4","48.888889","28.719988","20.168900","20.168900","14","0.000000","0","0","2"
"ID35","5","48.233360","28.752399","19.480961","19.480961","9","0.000000","0","0","3"
"ID35","6","37.700001","19.107540","18.592461","18.592461","8","0.000000","0","0","3"
"ID36","1","92.688896","40.142300","52.546600","19.357800","17","33.188801","12","1","1"
"ID36","2","80.366631","44.337994","36.028641","33.928638","31","2.100000","2","13","2"
"ID36","3","35.766670","19.095539","16.671129","16.671129","20","0.000000","0","1","2"
"ID36","4","34.866673","17.285480","17.581192","17.581192","15","0.000000","0","0","2"
"ID36","5","33.611111","17.973049","15.638060","15.638060","19","0.000000","0","2","2"
"ID36","6","41.911114","22.406307","19.504801","19.504801","27","0.000000","0","0","2"
"ID36","7","33.366669","18.528629","14.838040","14.838040","15","0.000000","0","0","3"
"ID36","8","28.822220","15.249185","13.573036","13.573036","13","0.000000","0","0","3"
